@relation Crop_recommendation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n numeric
@attribute p numeric
@attribute k numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {apple,banana,blackgram,chickpea,coconut,coffee,cotton,grapes,jute,kidneybeans,lentil,maize,mango,mothbeans,mungbean,muskmelon,orange,papaya,pigeonpeas,pomegranate,rice,watermelon}

@data
0.242857,0.385714,0.065,0.417631,0.090182,0.34825,0.24235,kidneybeans
0.085714,0.414286,0.06,0.273552,0.059715,0.344055,0.42466,kidneybeans
0.192857,0.364286,0.075,0.299401,0.072972,0.316925,0.268519,kidneybeans
0.05,0.414286,0.095,0.405423,0.114058,0.366056,0.314427,kidneybeans
0.171429,0.442857,0.085,0.324087,0.100794,0.328768,0.303267,kidneybeans
0.078571,0.471429,0.095,0.353357,0.098691,0.326867,0.436123,kidneybeans
0.264286,0.492857,0.05,0.461923,0.046287,0.323066,0.152678,kidneybeans
0.178571,0.507143,0.095,0.186651,0.124318,0.3204,0.413583,kidneybeans
0.242857,0.435714,0.06,0.286524,0.081894,0.370877,0.376771,kidneybeans
0.142857,0.457143,0.05,0.419426,0.099325,0.3778,0.313285,kidneybeans
0.264286,0.428571,0.055,0.401997,0.054998,0.338831,0.155853,kidneybeans
0.128571,0.492857,0.05,0.461348,0.093522,0.34269,0.453609,kidneybeans
0.028571,0.442857,0.1,0.429311,0.117806,0.379982,0.357211,kidneybeans
0.264286,0.364286,0.1,0.379636,0.06236,0.353015,0.382668,kidneybeans
0.035714,0.385714,0.05,0.288359,0.06911,0.383734,0.40945,kidneybeans
0.078571,0.4,0.08,0.281138,0.102259,0.315279,0.413605,kidneybeans
0.157143,0.535714,0.075,0.40698,0.053786,0.336655,0.287076,kidneybeans
0.085714,0.4,0.07,0.301464,0.115276,0.334504,0.173528,kidneybeans
0.035714,0.492857,0.08,0.212885,0.082823,0.324548,0.167988,kidneybeans
0.192857,0.457143,0.085,0.260858,0.124237,0.377518,0.175807,kidneybeans
0.221429,0.5,0.065,0.190595,0.083755,0.360705,0.246729,kidneybeans
0.257143,0.45,0.075,0.23631,0.110984,0.36696,0.221387,kidneybeans
0.035714,0.428571,0.055,0.358742,0.049312,0.36732,0.319348,kidneybeans
0.228571,0.528571,0.05,0.432812,0.075687,0.342353,0.220554,kidneybeans
0.078571,0.521429,0.085,0.432481,0.098989,0.378797,0.332139,kidneybeans
0,0.357143,0.085,0.406343,0.073741,0.375101,0.444217,kidneybeans
0.1,0.385714,0.05,0.359419,0.100957,0.353689,0.453545,kidneybeans
0.207143,0.45,0.09,0.440122,0.058572,0.361198,0.346763,kidneybeans
0.228571,0.45,0.07,0.453451,0.045789,0.3125,0.465361,kidneybeans
0.121429,0.421429,0.06,0.349972,0.124597,0.335588,0.375071,kidneybeans
0.092857,0.457143,0.07,0.243409,0.067184,0.366878,0.341255,kidneybeans
0.1,0.442857,0.085,0.430421,0.122449,0.329678,0.231473,kidneybeans
0.064286,0.457143,0.075,0.30073,0.113219,0.324525,0.392075,kidneybeans
0.142857,0.485714,0.085,0.206945,0.094185,0.384359,0.39583,kidneybeans
0.285714,0.521429,0.075,0.297277,0.076711,0.336605,0.215347,kidneybeans
0.192857,0.478571,0.09,0.318602,0.087979,0.382123,0.157411,kidneybeans
0.1,0.442857,0.05,0.308125,0.121504,0.339844,0.427811,kidneybeans
0.05,0.364286,0.065,0.272251,0.117492,0.341136,0.200936,kidneybeans
0.192857,0.428571,0.065,0.323797,0.104582,0.325065,0.190957,kidneybeans
0.214286,0.414286,0.055,0.424088,0.089209,0.314315,0.288798,kidneybeans
0.264286,0.464286,0.1,0.312934,0.124083,0.359958,0.229397,kidneybeans
0.192857,0.414286,0.07,0.347446,0.080856,0.31996,0.405894,kidneybeans
0.157143,0.392857,0.095,0.2857,0.069871,0.330607,0.301944,kidneybeans
0.021429,0.478571,0.095,0.794466,0.509436,0.392958,0.368037,pigeonpeas
0.285714,0.385714,0.09,0.80534,0.565464,0.274376,0.515595,pigeonpeas
0.235714,0.485714,0.09,0.585648,0.526477,0.385834,0.298614,pigeonpeas
0.192857,0.371429,0.095,0.531127,0.339461,0.402329,0.438727,pigeonpeas
0.071429,0.528571,0.065,0.351184,0.480751,0.329684,0.590667,pigeonpeas
0.214286,0.5,0.1,0.617136,0.327732,0.457416,0.463766,pigeonpeas
0.285714,0.464286,0.075,0.659275,0.358988,0.329491,0.455633,pigeonpeas
0.271429,0.357143,0.07,0.698889,0.279663,0.36699,0.641708,pigeonpeas
0.25,0.378571,0.075,0.589952,0.574162,0.350985,0.250919,pigeonpeas
0.271429,0.4,0.08,0.615443,0.619767,0.185335,0.386441,pigeonpeas
0.235714,0.378571,0.095,0.7642,0.635763,0.274442,0.317666,pigeonpeas
0.114286,0.364286,0.06,0.716633,0.30067,0.612828,0.561904,pigeonpeas
0.221429,0.478571,0.06,0.57005,0.410787,0.362077,0.273581,pigeonpeas
0.114286,0.535714,0.075,0.643175,0.494794,0.596325,0.36574,pigeonpeas
0.192857,0.478571,0.06,0.578331,0.501315,0.44215,0.361174,pigeonpeas
0.285714,0.407143,0.07,0.530743,0.2319,0.185527,0.274131,pigeonpeas
0.128571,0.378571,0.055,0.362998,0.286294,0.226724,0.575432,pigeonpeas
0.021429,0.45,0.055,0.27241,0.238437,0.22707,0.313495,pigeonpeas
0.185714,0.442857,0.095,0.807817,0.273925,0.332496,0.507529,pigeonpeas
0.114286,0.464286,0.075,0.45851,0.301739,0.327299,0.364121,pigeonpeas
0.171429,0.414286,0.07,0.301932,0.486563,0.183011,0.626483,pigeonpeas
0.064286,0.507143,0.1,0.575537,0.418381,0.342868,0.571241,pigeonpeas
0.114286,0.357143,0.07,0.307533,0.384185,0.452354,0.618741,pigeonpeas
0.2,0.5,0.08,0.457636,0.423315,0.389211,0.33796,pigeonpeas
0.114286,0.471429,0.095,0.272758,0.281739,0.22419,0.429091,pigeonpeas
0.171429,0.464286,0.08,0.296174,0.362972,0.312963,0.404397,pigeonpeas
0.271429,0.478571,0.08,0.556918,0.410435,0.372819,0.597414,pigeonpeas
0.064286,0.435714,0.08,0.610977,0.23185,0.344482,0.491737,pigeonpeas
0.242857,0.364286,0.06,0.705513,0.246968,0.16227,0.42917,pigeonpeas
0.007143,0.507143,0.07,0.440744,0.378301,0.492163,0.564495,pigeonpeas
0.042857,0.457143,0.07,0.518242,0.320076,0.193796,0.266774,pigeonpeas
0.185714,0.485714,0.08,0.645801,0.509966,0.224174,0.508609,pigeonpeas
0.192857,0.4,0.065,0.702484,0.616162,0.273932,0.31722,pigeonpeas
0.192857,0.471429,0.09,0.419747,0.375964,0.5606,0.469411,pigeonpeas
0.257143,0.4,0.08,0.737811,0.289145,0.328483,0.533085,pigeonpeas
0.121429,0.485714,0.065,0.306327,0.236257,0.330869,0.636482,pigeonpeas
0.185714,0.478571,0.085,0.572235,0.272035,0.181979,0.256906,pigeonpeas
0.121429,0.421429,0.055,0.635639,0.209873,0.568717,0.576635,pigeonpeas
0.1,0.492857,0.07,0.274662,0.263268,0.485233,0.261945,pigeonpeas
0.278571,0.392857,0.05,0.753746,0.195148,0.233164,0.347404,pigeonpeas
0.042857,0.435714,0.05,0.749102,0.188307,0.44182,0.499566,pigeonpeas
0.057143,0.385714,0.065,0.593391,0.250365,0.42176,0.602427,pigeonpeas
0.014286,0.442857,0.065,0.737268,0.388127,0.375861,0.390859,pigeonpeas
0.007143,0.507143,0.06,0.562661,0.441442,0.390021,0.455652,pigeonpeas
0.114286,0.485714,0.07,0.275203,0.239693,0.1834,0.513972,pigeonpeas
0.164286,0.5,0.1,0.638437,0.384262,0.555557,0.25544,pigeonpeas
0.228571,0.464286,0.075,0.346279,0.373181,0.420521,0.629995,pigeonpeas
0.2,0.385714,0.085,0.633587,0.449596,0.551614,0.541697,pigeonpeas
0.035714,0.407143,0.09,0.548329,0.608892,0.189332,0.449657,pigeonpeas
0.257143,0.442857,0.1,0.778371,0.259785,0.453057,0.416148,pigeonpeas
0.007143,0.435714,0.09,0.307534,0.497764,0.201982,0.549517,pigeonpeas
0.171429,0.485714,0.075,0.310237,0.210644,0.171677,0.561174,pigeonpeas
0.121429,0.442857,0.065,0.642574,0.492403,0.327628,0.391565,pigeonpeas
0.035714,0.357143,0.065,0.70827,0.366896,0.593646,0.382479,pigeonpeas
0.035714,0.364286,0.095,0.45858,0.358746,0.236125,0.604571,pigeonpeas
0.264286,0.514286,0.06,0.785773,0.206331,0.328501,0.613815,pigeonpeas
0.092857,0.485714,0.075,0.622056,0.247665,0.293423,0.511522,pigeonpeas
0.042857,0.414286,0.09,0.493277,0.416325,0.373518,0.503406,pigeonpeas
0.114286,0.514286,0.085,0.65019,0.249423,0.47734,0.288615,pigeonpeas
0.178571,0.421429,0.075,0.698011,0.21233,0.202637,0.30475,pigeonpeas
0.242857,0.5,0.095,0.421137,0.431994,0.195213,0.618257,pigeonpeas
0.142857,0.514286,0.09,0.747402,0.286733,0.260565,0.459995,pigeonpeas
0.25,0.535714,0.1,0.552858,0.357837,0.216346,0.635545,pigeonpeas
0.1,0.5,0.095,0.451133,0.502584,0.455871,0.352613,pigeonpeas
0.257143,0.535714,0.08,0.712257,0.398452,0.553833,0.288329,pigeonpeas
0.05,0.514286,0.065,0.336686,0.539999,0.490047,0.6139,pigeonpeas
0.207143,0.521429,0.1,0.319492,0.525799,0.385377,0.630776,pigeonpeas
0.214286,0.392857,0.08,0.575355,0.562645,0.303735,0.58221,pigeonpeas
0.142857,0.492857,0.055,0.781004,0.342453,0.195128,0.501826,pigeonpeas
0.135714,0.371429,0.09,0.42605,0.385306,0.596805,0.434397,pigeonpeas
0.021429,0.392857,0.07,0.485544,0.30868,0.20466,0.289449,pigeonpeas
0.035714,0.514286,0.07,0.63874,0.611619,0.425685,0.559438,pigeonpeas
0.035714,0.45,0.075,0.284197,0.549133,0.232692,0.429891,pigeonpeas
0.264286,0.485714,0.08,0.593328,0.574019,0.319652,0.608264,pigeonpeas
0.064286,0.385714,0.095,0.33313,0.29297,0.19324,0.420396,pigeonpeas
0.142857,0.478571,0.05,0.779874,0.487091,0.592312,0.411887,pigeonpeas
0.221429,0.364286,0.09,0.649725,0.246565,0.335453,0.55456,pigeonpeas
0,0.464286,0.08,0.788378,0.487288,0.18159,0.292425,pigeonpeas
0.15,0.492857,0.05,0.592981,0.616491,0.461424,0.477958,pigeonpeas
0.092857,0.442857,0.065,0.624096,0.239115,0.292366,0.565352,pigeonpeas
0.192857,0.492857,0.075,0.45536,0.533208,0.366242,0.257758,pigeonpeas
0.207143,0.478571,0.095,0.411722,0.261543,0.537706,0.511523,pigeonpeas
0.035714,0.45,0.075,0.293205,0.219879,0.406964,0.485575,pigeonpeas
0.278571,0.371429,0.07,0.588184,0.369494,0.45363,0.521648,pigeonpeas
0.157143,0.407143,0.055,0.74089,0.467377,0.205928,0.577296,pigeonpeas
0.128571,0.357143,0.09,0.378002,0.490552,0.541335,0.418957,pigeonpeas
0.278571,0.514286,0.08,0.406661,0.536422,0.170879,0.501091,pigeonpeas
0.092857,0.5,0.075,0.623655,0.245346,0.540374,0.570107,pigeonpeas
0.192857,0.471429,0.095,0.649602,0.395669,0.55366,0.521626,pigeonpeas
0.185714,0.421429,0.085,0.491392,0.307082,0.258215,0.319638,pigeonpeas
0.164286,0.357143,0.055,0.349665,0.646651,0.249868,0.592755,pigeonpeas
0.028571,0.457143,0.07,0.29915,0.390154,0.290748,0.462915,pigeonpeas
0.142857,0.442857,0.07,0.298967,0.4233,0.336944,0.576382,pigeonpeas
0.05,0.492857,0.06,0.39159,0.563522,0.336322,0.274964,pigeonpeas
0.121429,0.421429,0.065,0.801301,0.513276,0.400388,0.375039,pigeonpeas
0.25,0.471429,0.06,0.604514,0.607716,0.532969,0.63923,pigeonpeas
0.078571,0.478571,0.085,0.589721,0.356551,0.519101,0.546761,pigeonpeas
0.142857,0.392857,0.085,0.59756,0.3341,0.524361,0.59893,pigeonpeas
0.071429,0.471429,0.065,0.307525,0.607646,0.41153,0.549309,pigeonpeas
0.235714,0.4,0.095,0.321966,0.404567,0.165263,0.367327,pigeonpeas
0.021429,0.314286,0.065,0.547644,0.588533,0.029254,0.044791,mothbeans
0.157143,0.385714,0.09,0.53075,0.431859,0.134829,0.058533,mothbeans
0.257143,0.378571,0.1,0.569144,0.525652,0.761139,0.060051,mothbeans
0.028571,0.271429,0.065,0.579741,0.546357,0.829801,0.189578,mothbeans
0.207143,0.35,0.055,0.543895,0.471191,0.722866,0.042533,mothbeans
0.228571,0.271429,0.085,0.664956,0.464861,0.274635,0.184716,mothbeans
0.1,0.357143,0.05,0.53114,0.478508,0.706892,0.191258,mothbeans
0.035714,0.214286,0.075,0.576871,0.45859,0.960212,0.165781,mothbeans
0.178571,0.371429,0.095,0.540291,0.517264,0.539665,0.060109,mothbeans
0.078571,0.342857,0.095,0.565234,0.484283,0.604812,0.147721,mothbeans
0.285714,0.314286,0.06,0.636918,0.369026,0.494923,0.119837,mothbeans
0.271429,0.364286,0.1,0.485376,0.363107,0.680592,0.169656,mothbeans
0.192857,0.271429,0.09,0.656497,0.4969,0.368656,0.088852,mothbeans
0.171429,0.235714,0.085,0.449158,0.516293,0.730592,0.05302,mothbeans
0.164286,0.285714,0.08,0.649629,0.437934,0.852303,0.194835,mothbeans
0.207143,0.371429,0.075,0.481611,0.425494,0.368927,0.119207,mothbeans
0.221429,0.214286,0.09,0.616271,0.38408,0.653596,0.171832,mothbeans
0,0.357143,0.1,0.555217,0.343069,0.158533,0.091865,mothbeans
0.05,0.285714,0.085,0.478644,0.356636,0.998619,0.194415,mothbeans
0.121429,0.378571,0.1,0.639983,0.342143,0.458893,0.045109,mothbeans
0.078571,0.278571,0.06,0.502578,0.482171,0.70159,0.053508,mothbeans
0.157143,0.314286,0.085,0.55694,0.551819,0.032083,0.188452,mothbeans
0.064286,0.328571,0.07,0.522782,0.409082,0.308873,0.10074,mothbeans
0.2,0.307143,0.05,0.468742,0.478237,0.894096,0.074317,mothbeans
0.185714,0.321429,0.07,0.530627,0.436415,0.388858,0.044361,mothbeans
0.257143,0.364286,0.075,0.475948,0.413032,0.611527,0.0419,mothbeans
0.057143,0.392857,0.065,0.642489,0.3705,0.047226,0.11823,mothbeans
0.171429,0.228571,0.08,0.624058,0.512913,0.359774,0.152818,mothbeans
0.157143,0.271429,0.095,0.476315,0.454515,0.158449,0.093345,mothbeans
0.257143,0.271429,0.095,0.524202,0.342904,0.000879,0.076617,mothbeans
0.157143,0.278571,0.095,0.444297,0.490778,0.392778,0.139336,mothbeans
0.121429,0.271429,0.085,0.60935,0.369123,0.310029,0.074884,mothbeans
0.057143,0.285714,0.05,0.552944,0.54507,0.172092,0.048967,mothbeans
0.05,0.364286,0.09,0.50254,0.300398,0.317319,0.126794,mothbeans
0.257143,0.371429,0.055,0.56782,0.500259,0.744615,0.132272,mothbeans
0.078571,0.285714,0.07,0.570288,0.351146,0.050274,0.085881,mothbeans
0.042857,0.221429,0.085,0.441621,0.531175,0.834292,0.079169,mothbeans
0.121429,0.371429,0.075,0.564741,0.36096,0.044916,0.165134,mothbeans
0.028571,0.3,0.075,0.492221,0.591409,0.107061,0.186748,mothbeans
0.064286,0.314286,0.055,0.632978,0.31622,0.646433,0.125176,mothbeans
0.178571,0.328571,0.095,0.478584,0.553061,0.91565,0.161195,mothbeans
0.257143,0.278571,0.08,0.46771,0.43248,0.157286,0.065657,mothbeans
0.15,0.235714,0.075,0.524519,0.575218,0.356052,0.150859,mothbeans
0.264286,0.371429,0.075,0.63917,0.356525,0.598652,0.181743,mothbeans
0.228571,0.307143,0.065,0.505925,0.491628,0.387034,0.157897,mothbeans
0.207143,0.278571,0.075,0.608774,0.575151,0.795503,0.041749,mothbeans
0.178571,0.328571,0.065,0.543828,0.473185,0.926039,0.108041,mothbeans
0.071429,0.278571,0.095,0.636069,0.335536,0.70442,0.136752,mothbeans
0.164286,0.214286,0.065,0.506894,0.386209,0.296989,0.060293,mothbeans
0.064286,0.392857,0.09,0.664113,0.500628,0.430965,0.158233,mothbeans
0.021429,0.378571,0.08,0.474485,0.379923,0.879571,0.127157,mothbeans
0.157143,0.264286,0.085,0.479682,0.498209,0.681598,0.101515,mothbeans
0.085714,0.242857,0.08,0.578698,0.566954,0.727659,0.180565,mothbeans
0.278571,0.221429,0.085,0.588741,0.539467,0.86578,0.049657,mothbeans
0.228571,0.257143,0.055,0.568454,0.549864,0.65277,0.173658,mothbeans
0.214286,0.257143,0.05,0.459296,0.348944,0.370174,0.114496,mothbeans
0.135714,0.221429,0.085,0.476938,0.516724,0.413697,0.132341,mothbeans
0.028571,0.292857,0.05,0.636648,0.561639,0,0.156497,mothbeans
0.15,0.242857,0.075,0.523277,0.443777,0.603896,0.145625,mothbeans
0.25,0.371429,0.1,0.524248,0.326677,0.752005,0.182921,mothbeans
0.157143,0.357143,0.095,0.566497,0.502174,0.801828,0.159221,mothbeans
0.25,0.328571,0.06,0.573134,0.415102,0.008409,0.074166,mothbeans
0.121429,0.364286,0.06,0.548561,0.363445,0.381291,0.177661,mothbeans
0.2,0.371429,0.06,0.621292,0.552057,0.919275,0.149651,mothbeans
0.157143,0.221429,0.055,0.624271,0.425943,0.727719,0.15942,mothbeans
0.078571,0.257143,0.07,0.517461,0.321453,0.253024,0.08596,mothbeans
0.271429,0.235714,0.065,0.50172,0.547449,0.433784,0.055767,mothbeans
0.164286,0.228571,0.095,0.572533,0.349579,0.697809,0.049388,mothbeans
0.178571,0.214286,0.075,0.576094,0.339411,0.842622,0.185698,mothbeans
0.285714,0.285714,0.075,0.589708,0.506722,0.524661,0.06514,mothbeans
0.164286,0.378571,0.07,0.440325,0.513206,0.270419,0.140034,mothbeans
0.014286,0.364286,0.09,0.511557,0.53115,0.629102,0.060023,mothbeans
0.021429,0.364286,0.06,0.555912,0.457838,0.809373,0.114693,mothbeans
0.185714,0.328571,0.1,0.572147,0.447593,0.666801,0.125759,mothbeans
0.278571,0.264286,0.075,0.588936,0.54822,0.707763,0.074069,mothbeans
0.192857,0.385714,0.075,0.550468,0.447384,0.138865,0.056766,mothbeans
0.171429,0.285714,0.07,0.517444,0.403232,0.380638,0.052206,mothbeans
0.05,0.25,0.06,0.642377,0.311092,0.781814,0.120627,mothbeans
0.107143,0.285714,0.09,0.441281,0.550322,0.578421,0.092722,mothbeans
0.185714,0.335714,0.09,0.607254,0.412322,0.221938,0.117543,mothbeans
0.142857,0.285714,0.055,0.605856,0.470815,0.174401,0.090625,mothbeans
0.242857,0.35,0.095,0.642364,0.31848,0.236574,0.174566,mothbeans
0.135714,0.328571,0.1,0.515901,0.396411,0.003206,0.085026,mothbeans
0.207143,0.257143,0.08,0.650457,0.566833,0.834333,0.159357,mothbeans
0.142857,0.321429,0.085,0.636195,0.375262,0.917858,0.065043,mothbeans
0.078571,0.25,0.09,0.59647,0.569147,0.357607,0.10773,mothbeans
0.107143,0.35,0.05,0.6069,0.498972,0.754269,0.088555,mothbeans
0.25,0.357143,0.085,0.633092,0.447588,0.797808,0.126848,mothbeans
0.064286,0.385714,0.1,0.618871,0.535498,0.65229,0.054477,mothbeans
0.285714,0.285714,0.065,0.620123,0.477664,0.273163,0.038473,mothbeans
0.25,0.235714,0.07,0.473495,0.570714,0.872119,0.044908,mothbeans
0.1,0.378571,0.06,0.622992,0.533208,0.171212,0.047702,mothbeans
0.285714,0.357143,0.065,0.618566,0.307202,0.561594,0.099669,mothbeans
0.128571,0.221429,0.09,0.435944,0.460878,0.576848,0.053253,mothbeans
0.25,0.335714,0.05,0.570239,0.546983,1,0.163337,mothbeans
0.028571,0.385714,0.085,0.588576,0.405315,0.841219,0.079861,mothbeans
0.157143,0.328571,0.055,0.549218,0.549333,0.798532,0.179248,mothbeans
0.235714,0.3,0.06,0.460329,0.396824,0.795722,0.157024,mothbeans
0.014286,0.328571,0.06,0.489275,0.369855,0.362929,0.065821,mothbeans
0.114286,0.328571,0.08,0.636846,0.416672,0.004239,0.045273,mothbeans
0.135714,0.357143,0.075,0.533937,0.857953,0.572373,0.124026,mungbean
0.057143,0.35,0.075,0.559784,0.775919,0.548877,0.066774,mungbean
0.257143,0.357143,0.075,0.521926,0.817562,0.486944,0.126047,mungbean
0.071429,0.364286,0.055,0.555201,0.779101,0.516837,0.058006,mungbean
0.157143,0.364286,0.06,0.604112,0.852383,0.526571,0.088166,mungbean
0.064286,0.371429,0.095,0.604498,0.880234,0.569234,0.081853,mungbean
0.242857,0.385714,0.09,0.566329,0.8048,0.533573,0.130309,mungbean
0.221429,0.328571,0.1,0.536882,0.831882,0.574157,0.117865,mungbean
0,0.314286,0.065,0.598509,0.85948,0.542016,0.077649,mungbean
0.15,0.242857,0.075,0.554345,0.791627,0.55363,0.095368,mungbean
0.2,0.214286,0.085,0.594112,0.845452,0.567903,0.142487,mungbean
0.121429,0.335714,0.06,0.546857,0.842163,0.4448,0.087778,mungbean
0.171429,0.264286,0.09,0.556647,0.794425,0.454611,0.085507,mungbean
0.2,0.292857,0.055,0.579126,0.824775,0.491333,0.092326,mungbean
0.15,0.235714,0.08,0.600569,0.842168,0.48721,0.062277,mungbean
0.242857,0.392857,0.1,0.601395,0.827203,0.511498,0.073891,mungbean
0.135714,0.342857,0.085,0.546297,0.772169,0.520677,0.081262,mungbean
0.221429,0.378571,0.05,0.524668,0.824854,0.562462,0.112502,mungbean
0.135714,0.214286,0.095,0.524669,0.809398,0.525409,0.103857,mungbean
0.171429,0.342857,0.06,0.577588,0.87281,0.453556,0.134535,mungbean
0.092857,0.3,0.075,0.585143,0.859495,0.47272,0.082369,mungbean
0.221429,0.342857,0.055,0.57149,0.834759,0.458336,0.101796,mungbean
0.2,0.285714,0.09,0.597551,0.770388,0.464129,0.131315,mungbean
0.221429,0.228571,0.08,0.528369,0.841612,0.498987,0.061438,mungbean
0.235714,0.392857,0.05,0.577508,0.786395,0.467485,0.130411,mungbean
0.242857,0.285714,0.08,0.555604,0.797307,0.432734,0.060355,mungbean
0.092857,0.371429,0.1,0.558819,0.839309,0.522264,0.10872,mungbean
0.235714,0.371429,0.06,0.547225,0.868601,0.509989,0.135037,mungbean
0.228571,0.371429,0.085,0.569998,0.854445,0.507697,0.087497,mungbean
0.164286,0.385714,0.1,0.545213,0.868754,0.437927,0.131048,mungbean
0.25,0.257143,0.065,0.570446,0.785475,0.497681,0.142481,mungbean
0.042857,0.307143,0.095,0.568457,0.820732,0.511013,0.10157,mungbean
0.207143,0.221429,0.1,0.55838,0.865353,0.563816,0.101871,mungbean
0.028571,0.221429,0.085,0.538976,0.83845,0.545537,0.084747,mungbean
0.071429,0.385714,0.085,0.567674,0.848503,0.567767,0.060122,mungbean
0.1,0.307143,0.08,0.585952,0.822908,0.542194,0.11935,mungbean
0.057143,0.321429,0.08,0.568251,0.873232,0.422088,0.108813,mungbean
0.142857,0.25,0.05,0.595344,0.861103,0.57458,0.089217,mungbean
0.257143,0.271429,0.085,0.54523,0.850507,0.448675,0.137099,mungbean
0.1,0.371429,0.05,0.604021,0.803626,0.484996,0.071526,mungbean
0.078571,0.392857,0.09,0.53117,0.866086,0.54869,0.110964,mungbean
0.071429,0.385714,0.05,0.602721,0.875442,0.43843,0.138875,mungbean
0.05,0.392857,0.1,0.558099,0.799103,0.449881,0.128755,mungbean
0.014286,0.3,0.05,0.603817,0.836795,0.450474,0.137247,mungbean
0.142857,0.285714,0.085,0.595789,0.883487,0.528718,0.124843,mungbean
0.014286,0.242857,0.05,0.55227,0.80087,0.462465,0.105649,mungbean
0.192857,0.25,0.095,0.545615,0.883513,0.553357,0.117245,mungbean
0.25,0.307143,0.05,0.524608,0.853826,0.540719,0.125116,mungbean
0.028571,0.385714,0.1,0.541164,0.789566,0.423365,0.123626,mungbean
0.007143,0.307143,0.095,0.58882,0.832285,0.424252,0.139483,mungbean
0.257143,0.271429,0.08,0.56062,0.82359,0.565396,0.117547,mungbean
0.078571,0.292857,0.095,0.540236,0.881301,0.459463,0.130463,mungbean
0.242857,0.3,0.07,0.530506,0.830459,0.476498,0.118344,mungbean
0.15,0.278571,0.065,0.523487,0.847387,0.563541,0.108699,mungbean
0.121429,0.378571,0.075,0.552105,0.835919,0.454817,0.068357,mungbean
0.178571,0.25,0.08,0.542546,0.780191,0.42675,0.086095,mungbean
0.014286,0.235714,0.065,0.536894,0.88273,0.484444,0.090802,mungbean
0.064286,0.307143,0.075,0.597964,0.816854,0.44676,0.128918,mungbean
0.264286,0.314286,0.1,0.605136,0.835191,0.452652,0.07609,mungbean
0.257143,0.235714,0.05,0.560633,0.855539,0.43791,0.135743,mungbean
0.285714,0.378571,0.05,0.592212,0.855665,0.540197,0.082425,mungbean
0.214286,0.278571,0.055,0.599844,0.800636,0.456832,0.110307,mungbean
0.007143,0.385714,0.09,0.534948,0.85062,0.572232,0.084688,mungbean
0.064286,0.307143,0.085,0.543621,0.849726,0.450703,0.105252,mungbean
0.1,0.257143,0.06,0.582606,0.865863,0.556927,0.05834,mungbean
0.25,0.335714,0.07,0.524548,0.882344,0.49668,0.061957,mungbean
0.221429,0.307143,0.06,0.575473,0.847886,0.480533,0.120662,mungbean
0.028571,0.257143,0.075,0.554423,0.811234,0.48881,0.061925,mungbean
0.214286,0.228571,0.1,0.604468,0.768594,0.562222,0.12425,mungbean
0.064286,0.214286,0.075,0.533413,0.778337,0.530152,0.073004,mungbean
0.142857,0.257143,0.075,0.586729,0.877579,0.554916,0.110341,mungbean
0.264286,0.321429,0.09,0.59763,0.865895,0.470538,0.128644,mungbean
0.242857,0.214286,0.08,0.562975,0.798125,0.494473,0.136433,mungbean
0.1,0.228571,0.05,0.549119,0.813284,0.478451,0.103199,mungbean
0.164286,0.242857,0.085,0.586253,0.789996,0.522537,0.078368,mungbean
0.035714,0.285714,0.08,0.560612,0.860342,0.463797,0.082055,mungbean
0.157143,0.228571,0.075,0.53951,0.842655,0.482242,0.06844,mungbean
0.285714,0.328571,0.06,0.569162,0.838319,0.521878,0.107075,mungbean
0.192857,0.364286,0.075,0.58496,0.849903,0.453163,0.112547,mungbean
0.221429,0.25,0.085,0.590626,0.83877,0.444885,0.119072,mungbean
0.271429,0.221429,0.08,0.551046,0.823884,0.474566,0.057155,mungbean
0.042857,0.228571,0.06,0.552683,0.770988,0.506341,0.064428,mungbean
0.042857,0.3,0.065,0.583535,0.770175,0.499278,0.071688,mungbean
0.171429,0.278571,0.06,0.603562,0.767312,0.491674,0.109408,mungbean
0.178571,0.385714,0.07,0.580796,0.809913,0.485492,0.085291,mungbean
0.228571,0.364286,0.08,0.532563,0.868004,0.497333,0.136836,mungbean
0.057143,0.285714,0.065,0.5482,0.830137,0.545271,0.082773,mungbean
0.135714,0.242857,0.06,0.586952,0.787913,0.526474,0.087168,mungbean
0.278571,0.228571,0.05,0.578816,0.811106,0.515835,0.142389,mungbean
0.235714,0.228571,0.07,0.548098,0.843363,0.572044,0.083605,mungbean
0.185714,0.35,0.06,0.565907,0.871391,0.430434,0.105186,mungbean
0.15,0.328571,0.05,0.589363,0.874094,0.493656,0.100918,mungbean
0.157143,0.35,0.075,0.566311,0.809343,0.49532,0.074733,mungbean
0.207143,0.285714,0.055,0.562733,0.859216,0.478766,0.082305,mungbean
0.028571,0.25,0.08,0.573076,0.77224,0.500875,0.086544,mungbean
0.071429,0.228571,0.085,0.571075,0.873381,0.554402,0.137663,mungbean
0.028571,0.278571,0.07,0.548948,0.808049,0.531425,0.082795,mungbean
0.142857,0.285714,0.06,0.555208,0.810026,0.507936,0.061201,mungbean
0.164286,0.285714,0.09,0.572481,0.844961,0.540932,0.129022,mungbean
0.178571,0.307143,0.08,0.56277,0.807615,0.429671,0.116197,mungbean
